"name","n","IFmean","IFse","CTmean","CTse"
"Queen's U",1692,13.6963100685579,0.425660813774191,13.9172399527187,1.28883756626637
"Sapienza Rome",1683,5.12844503683898,0.1827762740799,4.43805704099822,0.255340228269634
"CU Sacred Heart",1660,5.39137667710843,0.172540628595748,7.67572891566265,0.444317075735409
"Vanderbilt",1656,20.8066711745169,0.501682606780581,15.7232487922705,0.960396713929108
"WU Vienna",1644,5.10916588625304,0.196880379497736,6.43248783454988,0.407305724087147
"Carlos III Madrid",1623,11.2017033413432,0.378399939512311,10.8570301910043,0.764990195128131
"Paris 1",1620,4.44823617530864,0.204727731032203,4.89190740740741,0.333513564048486
"Johns Hopkins",1597,14.8351084383219,0.467950421714787,17.7283719474014,1.23197662978688
"GWU",1578,10.1006964461343,0.373355417951312,15.0669201520913,1.82791199121909
"Lund",1563,7.33682146577095,0.273991435802637,9.18270633397313,0.68258682568447
"Arizona State",1551,16.3970712417795,0.493661988841685,25.7772469374597,2.47231157199786
"U Valencia",1530,5.22242975294118,0.18839217844898,6.22312418300654,0.31514500514191
"Iowa State",1517,8.50619438167436,0.324303672618956,8.92837837837838,0.639599171040303
"Sussex",1510,8.58167030860927,0.268715321949687,13.1670662251656,0.776726683178253
"Hebrew U",1503,17.8958585934797,0.548777841217914,18.2237658017299,1.77084863232503
"Oslo",1498,15.0129471441923,0.385816060825439,18.2965153538051,1.12973255004025
"Kobe",1494,7.65533024096386,0.270815760052591,6.87794511378849,0.825137170104961
"WUSTL",1476,19.9491227052846,0.55225327270578,27.2215785907859,2.62710790258908
"U Georgia",1473,9.36997227223354,0.315716117726497,10.3795994568907,0.668626375264741
"Athens UEB",1426,8.16701088709677,0.274367884910765,7.55576437587658,0.460127295571704
"Sheffield",1425,6.8429994722807,0.196627712067154,9.49953684210526,0.565506546815844
"U Florida",1420,9.98636292676056,0.411171936179832,13.470014084507,1.63251560308453
"UCSD",1417,22.2075778447424,0.587891088439374,44.1894142554693,3.64538070203442
"U Basque Country",1416,4.97115447316384,0.213416396751702,5.50294491525424,0.76243027304349
"U Paris-Nanterre",1400,3.813086545,0.175602300785745,5.00007142857143,0.526201515795611
"UT Sydney",1396,8.70393276217765,0.356002426646092,9.95791547277937,0.580345185793405
"Indiana U",1393,14.8471467552046,0.488797697833662,22.7350035893754,1.68429568933586
"BC",1390,22.2739772863309,0.590398298977361,25.5925899280576,2.26463211136582
"UC Irvine",1390,19.1527950669065,0.502765003001044,28.7633381294964,1.80103822450739
